KCMO or Not,Census Tract,East-West Coordinate,North-South Coordinate,1940 Population,1950 Population,1960 Population,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,1940 Housing Units,1950 Housing Units,1960 Housing Units,1970 Housing Units,1980 Housing Units,1990 Housing Units,2000 Housing Units,2010 Housing Units,1970 Occupied Housing Units,1980 Occupied Housing Units,1990 Occupied Housing Units,2000 Occupied Housing Units,2010 Occupied Housing Units,1970 Vacant Housing Units,1980 Vacant Housing Units,1990 Vacant Housing Units,2000 Vacant Housing Units,2010 Vacant Housing Units,1970 Households,1980 Households,1990 Households,2000 Households,2010 Households,1970 Group Quarters Population,1980 Group Quarters Population,1990 Group Quarters Population,2000 Group Quarters Population,2010 Group Quarters Population
Not,536.02,2685537,976267,613,1155,2896,3490,4915,5491,5337,7102,183,378,979,1209,1846,2089,1844,2611,1123,1698,1978,1814,2488,85,148,111,30,123,1123,1698,1978,1814,2488,14,0,130,256,275
Not,537.01,2643223,960692,207,391,981,1117,2197,2175,2318,2655,61,128,331,355,691,752,847,1034,335,656,723,802,958,20,35,28,45,76,335,656,723,802,958,1,1,1,2,0
Not,537.03,2669530,960478,79,149,373,428,578,704,1355,2742,31,65,169,190,294,376,679,1351,179,270,348,634,1095,11,24,29,45,256,179,270,348,634,1095,7,9,14,33,0
Not,537.05,2675747,960688,94,178,446,511,691,842,1620,3278,28,59,152,171,265,338,611,1215,161,243,313,570,1092,10,22,26,40,123,161,243,313,570,1092,8,11,17,40,0
Not,537.07,2669528,965237,129,242,608,697,942,1148,2208,4469,38,78,202,227,353,451,814,1619,214,324,417,760,1517,13,29,34,54,102,214,324,417,760,1517,11,15,23,54,15
Not,537.09,2661558,962723,152,286,719,823,1113,1356,2609,5280,44,91,235,264,411,524,947,1884,250,377,485,884,1785,15,34,40,63,99,250,377,485,884,1785,13,17,27,64,148
Not,537.11,2668501,973807,226,364,792,760,968,1123,2066,4011,61,104,227,214,311,382,655,1244,202,288,354,611,1097,11,23,28,44,147,202,288,354,611,1097,10,13,21,49,1072
Not,537.12,2667213,950905,104,196,491,563,760,927,1783,3609,30,63,163,183,285,364,656,1308,173,261,336,613,1237,10,24,28,44,71,173,261,336,613,1237,9,12,19,44,0
Not,538.01,2698579,949880,285,537,1348,1684,3549,4024,4350,5470,85,176,455,547,1174,1399,1559,2109,472,1086,1320,1515,1950,75,88,79,44,159,472,1086,1320,1515,1950,0,42,29,44,39
Not,538.03,2748000,952265,116,219,549,772,1852,2660,3371,3508,36,74,191,243,651,919,1172,1343,210,580,879,1149,1268,34,71,39,23,75,210,580,879,1149,1268,0,0,0,0,0
Not,538.04,2726518,952316,72,135,338,474,1137,1634,2071,2155,20,42,109,139,371,524,668,766,119,331,502,655,715,19,40,23,13,51,119,331,502,655,715,0,0,0,0,0
Not,9800.01,2712525,1009046,0,0,0,0,1,3,4,5,0,0,0,0,1,2,3,3,0,1,2,2,2,0,0,0,0,1,0,1,2,2,2,0,0,0,0,0
Not,9800.02,2727774,1024316,0,0,0,1,15,18,19,18,0,0,0,1,9,11,12,12,0,8,11,11,12,0,1,1,0,0,0,8,11,11,12,0,0,0,0,0
Not,9800.03,2703276,1027822,0,1,2,2,3,4,6,8,0,0,1,1,2,2,3,5,1,1,2,3,4,0,0,0,0,1,1,1,2,3,4,0,0,0,0,0
Not,701,2671624,1149075,2373,2445,2801,3079,2108,2181,2038,1916,852,1020,1095,1325,1247,1267,1153,1229,1157,996,1063,1003,1019,168,251,204,150,210,1157,996,1063,1003,1019,56,75,0,79,14
Not,702,2667012,1149609,2631,2711,3106,3414,2883,2992,2949,2795,872,1043,1120,1355,1358,1446,1432,1384,1267,1244,1287,1294,1220,88,114,159,138,164,1267,1244,1287,1294,1220,14,0,12,14,0
Not,703,2664686,1146512,4849,4996,5723,6291,5906,5790,5799,5383,1233,1475,1584,1916,2200,2353,2365,2408,1848,2096,2177,2259,2179,68,104,176,106,229,1848,2096,2177,2259,2179,88,0,0,16,8
Not,704,2671543,1144357,3846,3963,4539,4990,4111,3983,3877,3502,1271,1520,1632,1975,1925,1883,1844,1752,1854,1735,1708,1653,1546,121,190,175,191,206,1854,1735,1708,1653,1546,35,18,5,13,0
Not,705,2673129,1136146,3551,3659,4192,4608,3835,4273,5057,5396,890,1065,1144,1384,1351,1723,1964,2042,1233,1265,1578,1808,1836,151,86,145,156,206,1233,1265,1578,1808,1836,634,492,383,752,1067
Not,707,2665453,1138014,2351,2422,2775,3050,4332,5093,4940,4828,613,733,788,953,1568,1918,1956,2030,907,1490,1799,1889,1917,46,78,119,67,113,907,1490,1799,1889,1917,0,79,105,98,51
Not,709,2630605,1166306,1750,1803,2065,2270,2572,2812,2995,2897,437,523,561,679,881,1008,1118,1174,641,820,954,1067,1073,38,61,54,51,101,641,820,954,1067,1073,61,58,55,50,45
Not,710,2628886,1126702,1255,1293,1481,1628,1941,2266,2895,3794,306,366,393,476,630,786,1090,1415,445,593,762,1033,1345,31,37,24,57,70,445,593,762,1033,1345,7,0,0,0,0
